player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Blake Ruffin,86298,S,LOUISVILLE,6,2,,0,0,210,72.4,69.1,79.0,58.9,58.2,66.6,0.0,0,0,37,37,0.0,0,0
Jalil Tucker,86578,CB,OREGON ST,11,1,11.2,1,0,265,55.1,56.8,84.2,63.7,62.1,54.3,15.4,2,5,220,230,0.0,0,10
Jackson Schulz,86773,S,KENTUCKY,4,1,13.0,0,0,202,80.5,78.8,72.1,,67.3,82.6,0.0,0,0,14,15,0.0,0,1
Ceyair Wright,86877,CB,NEBRASKA,13,6,6.9,0,0,238,65.6,66.6,53.2,57.2,70.4,51.8,14.3,3,3,333,338,1.5,5,12
David Reese,90079,ED,SYRACUSE,12,3,5.1,0,0,304,54.9,59.3,52.0,68.3,51.9,74.7,0.0,0,2,196,199,4.1,8,16
Chance Tucker,90524,CB,NOTRE DAME,4,0,,0,0,258,42.7,45.1,74.8,55.4,63.5,,,0,0,20,21,0.0,0,0
Ose Egbase,90529,ED,UNLV,14,4,3.9,0,0,325,67.6,63.3,84.7,69.2,51.7,37.2,26.3,5,0,125,127,4.8,6,10
Tyrice Ivy Jr.,90783,S,OREGON ST,1,3,8.5,0,0,265,57.9,64.0,74.3,59.4,72.3,83.4,0.0,0,0,20,20,0.0,0,2
Cam Ross,97105,WR,VIRGINIA,1,0,,0,0,335,,60.0,60.0,,60.0,,,0,2,1,1,0.0,0,0
Solomon Brown,97386,S,BUFFALO,12,7,8.2,0,1,126,70.5,71.8,88.8,58.1,72.1,76.1,13.3,4,2,284,284,2.8,8,19
Marvae Myers,97517,CB,MARSHALL,10,4,4.4,0,0,214,64.0,67.3,84.6,67.8,76.7,66.5,8.3,1,6,230,234,1.3,3,7
Jett Elad,97543,S,RUTGERS,12,11,11.8,0,0,278,65.3,63.1,17.7,67.0,60.3,43.5,20.0,12,2,302,307,4.3,13,37
Mohamed Toure,97751,LB,MIAMI FL,16,18,3.4,0,0,220,41.1,60.4,85.3,72.4,72.9,59.6,10.0,7,0,266,271,10.9,29,45
Zaylin Wood,97761,DI,VANDERBILT,13,8,1.6,1,0,333,58.8,67.7,66.4,66.7,66.9,55.5,14.3,3,1,155,159,5.8,9,10
Mark Davis,97886,CB,VANDERBILT,12,1,4.8,0,0,333,82.1,75.9,82.8,59.3,36.7,43.9,50.0,6,0,94,98,4.3,4,5
Shammond Cooper,97918,LB,AKRON,11,13,3.7,0,0,102,49.6,69.1,86.4,66.5,81.6,81.9,4.2,2,0,243,247,8.6,21,33
Anthonie Cooper,97970,DI,ARIZONA ST,11,0,,0,0,110,63.6,53.0,36.4,51.7,56.9,76.6,,0,1,32,33,0.0,0,0
Jalar Holley,97977,DI,CHARLOTTE,12,0,4.0,0,0,136,,56.9,82.2,57.7,55.6,77.1,0.0,0,0,130,133,3.8,5,7
Richie Hagarty,98121,ED,NWESTERN,8,3,1.0,0,0,256,52.7,59.0,46.1,61.7,60.7,80.7,0.0,0,1,96,96,5.2,5,5
Myles Farmer,98122,S,APP STATE,5,1,6.8,0,0,108,52.6,58.2,0.0,59.8,71.6,66.8,16.7,1,1,28,28,7.1,2,4
Immanuel Hickman Sr.,98192,DI,VA TECH,12,7,3.8,0,1,337,70.2,72.6,45.6,55.8,78.8,79.1,0.0,0,1,117,120,3.4,4,5
Quindarius Dunnigan,98193,ED,MICH STATE,12,8,1.3,0,0,223,69.3,69.9,59.2,63.0,70.7,72.2,4.2,1,1,125,127,9.6,12,15
Zukudo Igwenagu,98305,ED,UMASS,11,3,2.1,0,0,216,,59.8,49.3,61.1,59.7,32.1,26.3,5,1,159,161,6.3,10,11
Jalen Catalon,98867,S,MISSOURI,13,8,5.9,0,0,229,73.9,74.0,83.7,57.8,73.6,76.0,10.0,2,0,155,156,3.2,5,10
Taurean Carter II,98934,DI,COLORADO,6,1,5.3,0,0,143,,65.5,76.8,53.6,69.5,75.3,0.0,0,0,40,41,2.5,1,3
Isaiah Gibson Sr.,98952,DI,SO MISS,13,6,2.5,0,0,296,57.7,51.2,69.5,56.3,49.5,33.0,20.0,4,1,257,263,3.1,8,10
Brandon Mack II,99105,ED,HOUSTON,13,13,2.2,0,0,182,67.3,69.6,53.6,62.0,75.0,51.5,16.7,6,2,223,225,6.3,14,17
Will Jones II,99276,S,N TEXAS,14,17,9.1,0,2,251,80.2,77.1,88.4,56.1,70.4,67.4,19.4,13,1,480,486,1.3,6,37
Logan Wilson,99280,CB,CINCINNATI,11,5,10.8,0,1,138,74.1,72.5,5.9,,70.7,65.5,9.5,2,3,242,247,1.7,4,14
Isheem Young,99281,S,MEMPHIS,8,0,2.0,0,0,218,60.5,56.1,84.7,60.0,38.8,23.8,66.7,2,1,39,40,2.6,1,1
Virdel Edwards II,99286,CB,HAWAII,12,3,12.5,0,0,180,70.9,71.8,36.7,,75.0,70.9,7.1,1,3,201,207,1.5,3,10
Deshawn McCuin,99502,CB,S DIEGO ST,11,1,2.0,0,0,284,74.3,71.1,81.9,57.5,54.4,40.7,33.3,2,0,93,96,3.2,3,3
Nate Temple,99726,ED,PITTSBURGH,11,2,0.5,1,0,268,53.6,53.2,40.8,48.8,64.1,42.6,20.0,2,1,74,78,6.8,5,6
Cecil Powell,99735,S,SM HOUSTON,11,4,8.5,1,1,281,74.6,77.4,21.5,68.8,85.9,74.2,4.8,1,5,230,232,4.3,10,16
Jordan Huff,99745,S,GA STATE,12,7,7.8,0,0,175,63.1,61.0,83.6,57.9,56.6,51.8,20.0,7,0,240,245,2.5,6,21
Antonio Clary,99757,S,VIRGINIA,11,4,6.0,0,0,335,73.7,68.5,0.0,59.9,61.1,83.0,11.8,2,1,125,127,3.2,4,11
Kenan Johnson,99761,CB,VIRGINIA,1,0,,0,0,335,61.9,50.1,68.8,,49.2,21.4,100.0,1,0,3,3,0.0,0,0
Rico Watson III,99809,ED,USF,13,5,3.1,0,0,327,41.1,64.4,15.2,70.6,81.2,59.7,11.4,4,4,223,227,9.0,20,26
Ben Smiley,99845,ED,UCONN,10,2,1.4,0,0,146,57.9,57.7,84.5,57.7,58.0,34.0,19.0,4,0,149,150,8.1,12,15
Blaine Spires,100324,ED,PITTSBURGH,9,4,1.4,0,0,268,52.4,72.7,87.1,67.8,74.7,57.6,13.3,2,0,125,129,6.4,8,9
Siale Taupaki,100432,DI,UCLA,12,3,2.9,0,0,324,60.0,63.0,53.3,61.9,64.6,50.0,14.3,2,1,153,154,4.6,7,9
Stephon Wright,100437,DI,UCONN,12,10,1.7,0,0,146,54.9,68.4,83.0,65.5,71.8,41.8,20.7,6,0,174,174,5.7,10,13
De'Jon Benton,100445,DI,HAWAII,12,7,2.1,0,0,180,62.8,78.8,1.3,88.7,69.6,40.6,16.7,5,6,209,216,6.2,13,18
Levani Damuni,100457,LB,UTAH,13,11,3.5,0,0,328,63.3,78.6,82.9,64.8,86.0,82.6,2.9,1,0,146,148,9.6,14,22
Sitiveni Havili Kaufusi,100595,ED,OKLA STATE,12,4,5.4,0,0,262,67.2,63.2,49.3,58.2,64.8,58.2,13.3,2,1,109,113,7.3,8,9
Naki Fahina,101179,DI,UTAH ST,5,1,0.7,0,0,329,61.3,62.7,81.4,58.4,63.2,76.2,0.0,0,0,55,56,5.5,3,3
Javin Wright,101373,LB,NEBRASKA,12,18,3.9,0,0,238,73.1,79.6,84.1,65.6,82.3,75.6,10.3,6,0,275,278,6.2,17,34
Smith Vilbert,101408,ED,N CAROLINA,12,10,2.1,0,1,245,71.4,64.3,53.1,58.8,67.5,44.0,23.5,8,2,251,258,4.4,11,16
Jalen Hunt,101456,ED,CINCINNATI,13,3,0.6,0,0,138,60.0,76.9,85.0,58.3,87.7,76.7,5.0,1,0,250,257,5.6,14,16
Joey Velazquez,101480,LB,OHIO STATE,1,0,,0,0,260,,64.4,67.2,,62.4,,,0,0,3,3,0.0,0,0
Derik LeCaptain,101506,LB,MINNESOTA,3,1,,0,0,225,63.2,60.7,74.5,56.6,59.5,75.7,0.0,0,0,15,15,0.0,0,0
Tate Hallock,101668,S,W MICHIGAN,14,14,8.9,0,1,347,76.5,75.0,87.8,55.4,73.0,57.3,13.5,7,0,348,353,4.3,15,31
Marlon Jones,101808,CB,VANDERBILT,6,0,7.0,0,0,333,58.4,55.5,79.7,57.7,36.4,84.5,0.0,0,0,34,34,0.0,0,1
Rushawn Lawrence,101911,DI,MINNESOTA,13,3,1.7,0,0,225,60.8,60.0,82.6,59.3,58.5,60.9,5.9,1,0,114,116,8.8,10,13
Brendan Harrington,102848,LB,GA SOUTHRN,13,20,5.3,0,0,174,74.4,63.2,86.8,58.8,53.7,63.1,17.1,13,0,401,404,6.0,24,43
Logan Lutui,103655,ED,BYU,14,10,2.0,0,0,128,72.9,68.8,38.3,58.0,73.0,53.7,16.7,8,3,282,285,7.4,21,30
Marcus Bellon,104082,WR,NEVADA,1,0,,0,0,239,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Noah Holmes,104560,LB,E CAROLINA,8,1,3.0,0,0,156,70.8,73.3,74.4,65.4,70.3,65.7,16.7,2,0,45,45,13.3,6,9
Jalen Bell,106404,DI,MEMPHIS,13,8,1.5,1,0,218,63.3,76.8,67.4,61.5,84.7,54.2,13.5,5,1,234,237,7.3,17,24
Clay Patterson,106446,DI,STANFORD,12,5,1.8,0,0,300,58.5,82.8,62.3,83.1,76.1,59.3,10.0,2,1,153,157,7.8,12,13
Marques White,108130,ED,UMASS,12,7,3.1,0,0,216,65.3,90.2,90.1,92.3,76.0,70.7,12.5,5,0,263,266,6.8,18,28
Tra Thomas,116043,ED,NC STATE,13,10,2.0,0,0,248,50.8,61.3,58.6,69.2,56.8,73.6,9.5,2,1,157,160,4.5,7,9
Elijah Culp,121345,CB,JAMES MAD,13,4,5.1,0,0,197,72.6,72.6,0.0,64.7,78.5,50.9,20.8,5,8,301,309,2.7,8,15
Sam Howard,121351,LB,TULANE,11,7,2.9,0,0,319,66.3,71.6,49.7,65.9,75.5,60.9,21.2,7,1,233,241,5.6,13,19
Caullin Lacy,121426,WR,LOUISVILLE,2,0,,0,0,210,,60.0,60.0,,60.0,,,0,1,2,2,0.0,0,0
Tyrese Hopkins,121461,LB,LA MONROE,11,2,2.9,0,0,209,55.9,52.5,0.5,48.4,56.7,60.9,0.0,0,1,96,97,5.2,5,8
Kenneth Harris,121523,CB,OKLA STATE,12,2,6.0,0,0,262,46.3,45.6,87.6,67.2,38.8,29.2,31.6,6,1,315,326,1.6,5,11
Corbet Mims,121534,ED,JVILLE ST,9,2,1.3,0,0,196,,65.5,78.5,62.9,64.5,76.7,0.0,0,0,37,37,8.1,3,3
Channing Canada,121668,CB,TCU,13,2,10.3,0,0,305,61.4,63.0,46.4,53.1,73.7,65.6,7.7,1,4,287,293,1.4,4,10
Isaiah Cash,121669,CB,VA TECH,12,5,14.3,1,0,337,61.2,60.2,87.3,66.7,51.9,81.1,11.1,1,4,202,206,0.0,0,3
Immanuel Bush,121724,DI,JAMES MAD,13,4,1.0,0,0,197,69.5,72.8,83.6,60.9,73.5,46.2,16.0,4,0,171,175,8.2,14,17
Jayshaun Coffman,121726,DI,LOUISVILLE,4,0,1.7,0,0,210,,71.7,74.0,68.9,67.5,74.8,0.0,0,0,15,15,20.0,3,3
JoJo Evans Jr.,121728,S,LOUISVILLE,12,9,4.9,0,0,210,68.3,66.6,55.7,66.5,61.4,73.9,18.2,8,1,272,281,4.8,13,27
Kerion Martin,121739,LB,MARSHALL,12,10,2.9,0,0,214,64.2,69.3,86.0,57.9,74.9,69.5,11.4,4,0,194,196,7.7,15,21
Zane Porter,121745,LB,MARSHALL,2,1,2.0,0,0,214,49.1,60.6,72.2,,72.7,75.6,0.0,0,0,6,6,16.7,1,1
Daytione Smith,121749,S,MARSHALL,12,7,11.5,0,0,214,74.5,71.0,86.0,55.9,62.0,76.3,6.9,2,2,271,276,2.2,6,20
An'Darius Coffey,121757,S,PURDUE,7,0,2.0,0,0,273,59.8,54.8,0.0,58.0,48.7,51.5,40.0,2,1,52,52,1.9,1,3
Devonte Golden-Nelson,121780,CB,W VIRGINIA,1,0,,0,0,343,52.9,53.4,69.8,,60.5,74.2,,0,0,5,5,0.0,0,0
Jacob Busic,121837,ED,UCLA,12,2,2.7,0,0,324,64.3,58.0,86.6,56.3,56.8,58.0,11.8,2,0,208,211,4.8,10,13
Ajani Cuevas-Gillis,121841,S,MARSHALL,2,0,0.5,0,0,214,77.5,82.0,75.3,60.0,73.5,76.4,0.0,0,0,10,10,20.0,2,2
Jori Benson,122053,DI,W MICHIGAN,3,1,,0,0,347,,56.1,74.1,64.4,51.7,66.5,0.0,0,0,9,9,0.0,0,0
Rodney Johnson,122103,CB,LOUISVILLE,7,0,6.0,0,0,210,65.3,67.5,78.1,58.7,75.4,48.9,0.0,0,0,42,43,2.4,1,2
DeMonte Capehart,122144,DI,CLEMSON,12,5,1.3,0,0,140,60.0,71.2,83.5,61.9,74.5,53.4,16.7,4,0,140,143,8.6,12,15
Fred Davis II,122146,CB,NWESTERN,12,5,18.9,1,0,256,65.4,65.7,3.5,66.7,70.8,75.2,0.0,0,3,264,265,0.4,1,7
Malcolm Greene,122148,CB,UMASS,11,5,6.4,0,0,216,51.7,52.8,85.0,69.8,52.9,51.2,24.0,6,4,370,373,1.4,5,14
Tyler Venables,122163,S,CLEMSON,3,0,3.0,0,0,140,61.4,60.8,78.0,60.0,58.1,51.0,0.0,0,0,13,13,7.7,1,1
E.J. Williams Jr.,122164,WR,INDIANA,1,0,,0,0,190,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Tre Williams,122165,DI,MICHIGAN,13,3,0.7,0,0,222,60.0,67.8,58.6,61.6,70.5,56.2,15.0,3,1,150,150,8.0,12,14
Isaiah Dunson,122209,CB,GA STATE,3,0,,0,0,175,53.5,55.1,74.2,,62.5,76.6,,0,0,18,18,0.0,0,0
Jamar Rucks,122252,ED,KENNESAW,12,4,3.0,0,0,200,67.1,57.3,24.3,59.9,54.4,72.4,12.5,1,1,60,60,3.3,2,3
Tony Anyanwu,122261,ED,RICE,13,8,3.3,2,0,275,58.1,84.9,59.5,82.9,85.9,66.1,10.4,5,2,278,284,9.0,25,35
Mike Harris,122269,S,S ALABAMA,12,5,8.3,0,0,288,60.2,56.2,83.4,74.9,43.7,29.7,31.6,6,0,151,154,0.7,1,8
A.J. McCarty,122274,CB,TEXAS TECH,12,4,1.2,0,0,315,71.6,71.5,82.2,55.4,73.2,44.7,9.1,1,0,91,93,4.4,4,6
Devin Neal,122278,S,VIRGINIA,14,26,6.2,0,0,335,81.9,88.0,88.0,78.8,87.0,90.2,7.0,5,1,298,302,6.0,18,40
Shane Bruce,122323,LB,COAST CAR,7,4,2.9,0,0,141,76.6,78.3,84.7,58.8,76.3,75.4,10.7,3,0,147,149,8.8,13,21
Gary Smith III,122388,DI,UCLA,12,4,2.8,0,0,324,61.1,75.4,84.9,54.7,82.3,66.9,5.3,2,0,286,291,8.4,24,32
Stephen Dix Jr.,122396,LB,ARKANSAS,12,19,4.4,0,0,111,47.0,64.8,84.1,61.5,74.1,82.6,3.6,2,0,321,329,6.2,20,34
Jadarius Green-McKnight,122399,S,MARSHALL,11,3,3.5,1,0,214,62.5,67.1,84.8,73.1,69.8,73.2,8.3,1,1,154,154,3.2,5,8
Bryan Robinson,122413,WR,MARSHALL,1,0,5.0,0,0,214,,57.9,60.0,,60.0,,0.0,0,0,1,1,0.0,0,1
Tyler Bride,122432,S,JVILLE ST,1,0,,0,0,196,65.0,65.0,72.9,60.0,60.0,74.3,,0,0,6,6,0.0,0,0
Marques Watson-Trent,122461,LB,NEBRASKA,12,18,3.6,0,0,238,53.1,66.4,82.6,61.2,73.0,69.0,12.8,5,0,202,205,5.9,12,16
Jason Moore,122491,DI,GA TECH,13,11,4.6,0,0,176,59.1,66.4,83.7,75.8,57.4,54.8,13.0,3,0,175,178,2.9,5,9
Akelo Stone,122499,DI,GA TECH,9,3,1.6,0,0,176,61.0,65.2,50.7,71.9,57.5,42.0,23.1,3,1,108,109,5.6,6,7
Kenean Caldwell,122551,DI,KANSAS,12,3,1.4,0,0,198,,67.9,57.0,56.5,73.3,68.4,7.7,2,1,157,162,10.8,17,21
Karon Prunty,122574,CB,WAKE,13,2,11.6,0,0,339,84.8,84.1,85.9,68.2,70.9,51.5,23.1,3,5,334,340,0.6,2,8
Tee Denson,122591,S,JVILLE ST,2,0,4.0,0,0,196,76.5,77.4,76.1,60.0,71.4,81.8,0.0,0,0,20,21,5.0,1,2
Beau Palmer,122610,LB,KANSAS ST,1,0,,0,0,199,,60.0,66.3,,60.0,,,0,0,2,2,0.0,0,0
Cody Stufflebean,122619,ED,KANSAS ST,12,1,3.2,0,0,199,55.0,58.2,87.0,61.2,56.0,46.9,11.8,2,0,259,264,3.1,8,14
Caleb Anderson,122629,CB,MICHIGAN,7,1,7.0,0,0,222,51.1,53.7,78.0,,69.0,49.6,0.0,0,0,31,31,0.0,0,1
Courtline Flowers,122635,CB,LA LAFAYET,12,3,3.9,0,0,207,64.8,67.4,50.6,76.9,73.2,72.2,15.8,3,1,369,379,1.4,5,13
Caleb Kibodi,122645,LB,LA LAFAYET,7,5,5.0,0,0,207,62.0,75.9,81.8,67.4,82.4,87.9,0.0,0,0,70,72,2.9,2,8
Jordan Lawson,122647,ED,LA LAFAYET,13,15,1.9,0,0,207,80.2,77.5,41.6,80.7,68.6,59.4,12.2,6,3,293,298,7.2,21,28
Dominique Ratcliff,122655,DI,INDIANA,16,2,1.2,0,0,190,62.5,69.6,83.0,58.7,74.5,71.6,7.1,1,0,111,113,8.1,9,11
Tyree Skipper,122660,S,LA LAFAYET,11,14,7.8,0,0,207,48.7,51.9,45.4,65.3,57.3,43.0,20.0,10,1,315,323,2.5,8,26
Korian Wilson,122662,CB,LA MONROE,2,0,9.2,0,0,209,68.9,69.9,77.7,60.0,68.9,72.8,0.0,0,0,46,47,2.2,1,5
Ben Bell,122665,ED,VA TECH,12,12,1.5,0,0,337,54.4,70.3,0.0,83.8,69.4,50.0,19.4,6,8,213,217,4.7,10,13
Kershawn Fisher,122670,ED,W MICHIGAN,14,5,1.6,0,0,347,42.3,61.0,55.8,63.9,65.7,38.3,20.0,4,3,210,213,3.8,8,11
Keveion'ta Spears,122687,DI,SMU,13,5,0.4,0,0,287,,68.3,30.9,64.1,71.7,66.4,0.0,0,2,140,145,8.6,12,14
Cedric Woods,122690,CB,LA TECH,11,1,9.6,1,1,208,62.6,64.8,6.5,62.5,81.6,86.0,0.0,0,5,191,199,2.6,5,8
Henry Bryant,122696,DI,GA STATE,11,9,3.7,0,0,175,57.4,65.7,83.1,68.7,62.3,62.8,5.0,1,0,213,219,2.3,5,10
Jared Dawson,122703,DI,NOTRE DAME,11,3,1.3,0,0,258,60.0,79.8,56.6,75.2,80.2,63.6,5.9,1,1,136,141,6.6,9,13
Mason Reiger,122721,ED,WISCONSIN,12,12,2.3,0,0,349,54.6,82.4,71.2,83.0,78.0,57.5,18.4,7,1,195,204,7.2,14,19
Tahj Chambers,122740,LB,OLE MISS,14,9,4.8,0,0,226,63.2,67.8,0.0,56.8,75.4,59.3,17.1,6,2,169,169,7.7,13,20
Kedrick Bingley-Jones,122821,DI,MISS STATE,13,7,5.3,0,0,227,60.4,60.6,83.1,61.2,58.2,62.4,5.3,1,0,170,172,2.9,5,11
Jalen Brooks,122823,LB,MO STATE,11,10,4.5,0,0,230,92.5,85.0,26.9,63.8,63.0,59.9,17.5,7,1,141,147,9.9,14,23
Ja'Qurious Conley,122827,S,CHARLOTTE,11,9,8.8,0,0,136,86.4,75.4,0.0,58.3,63.8,72.2,12.5,5,3,231,234,3.5,8,26
Tony Grimes,122837,CB,PURDUE,11,4,3.3,0,0,273,55.9,52.8,47.8,60.2,42.0,48.5,21.1,4,4,340,343,2.1,7,11
Devan Boykin,122855,S,INDIANA,16,7,4.2,0,1,190,86.7,90.2,52.4,71.3,93.9,90.5,0.0,0,1,173,173,4.6,8,15
Jayland Parker,122879,LB,MARSHALL,7,8,3.6,0,0,214,39.1,57.7,15.0,56.4,74.3,59.4,7.9,3,1,173,173,9.2,16,27
Josh Pierre-Louis,122880,S,MARSHALL,12,8,3.0,0,0,214,64.0,62.9,49.8,55.4,64.0,78.3,10.0,2,1,217,222,3.7,8,10
Jordan Botelho,122894,ED,NOTRE DAME,12,9,3.2,0,0,258,44.4,71.9,88.2,63.1,80.5,67.8,3.8,1,0,119,121,9.2,11,16
Aidan Keanaaina,122903,DI,CAL,13,20,2.2,0,0,130,54.7,76.9,86.0,58.5,85.1,73.4,4.3,2,0,265,272,8.7,23,25
Caleb Offord,122908,CB,KENNESAW,12,7,7.2,0,0,200,69.7,71.8,86.4,74.1,73.0,65.2,16.7,4,2,363,367,1.9,7,13
Noah Arinze,122917,ED,COAST CAR,13,11,2.6,0,0,141,65.5,70.9,21.8,68.4,71.5,47.8,16.7,7,4,248,253,7.7,19,24
Joshua Eaton,122924,CB,MICH STATE,11,1,20.3,0,0,223,65.0,62.5,27.3,60.0,52.5,31.9,50.0,5,2,171,174,1.2,2,4
DJ Graham II,122926,CB,KANSAS,11,0,6.5,0,0,198,64.0,65.4,83.7,60.0,68.5,47.1,15.4,2,0,238,246,2.1,5,11
Reggie Grimes II,122927,ED,MEMPHIS,8,0,2.0,0,0,218,,63.1,78.8,53.7,71.0,72.9,0.0,0,0,38,38,5.3,2,2
